年月,地區,產業別,性別,年齡層,信用卡交易筆數,信用卡交易金額[新台幣]
201401,66000000,其他,2,20(含)-25歲,5075,24462189
201401,66000000,其他,2,25(含)-30歲,15775,73051057
201401,66000000,其他,2,30(含)-35歲,29501,119277797
201401,66000000,其他,2,35(含)-40歲,37936,155138736
201401,66000000,其他,2,40(含)-45歲,37817,158349280
201401,66000000,其他,2,45(含)-50歲,32633,157000934
201401,66000000,其他,2,50(含)-55歲,23426,121957472
201401,66000000,其他,2,55(含)-60歲,14068,76023798
201401,66000000,其他,2,60(含)-65歲,7035,35108835
201401,66000000,其他,2,65(含)-70歲,2111,12314517
201401,66000000,其他,2,70(含)-75歲,719,3361890
201401,66000000,其他,2,75(含)-80歲,235,1843981
201401,66000000,其他,2,80(含)歲以上,365,5042656
201401,67000000,食,2,未滿20歲,318,284195
201401,67000000,食,2,20(含)-25歲,8562,10487755
201401,67000000,食,2,25(含)-30歲,26931,41299802
201401,67000000,食,2,30(含)-35歲,48955,81194126
201401,67000000,食,2,35(含)-40歲,61532,104294599
201401,67000000,食,2,40(含)-45歲,63455,105515283
201401,67000000,食,2,45(含)-50歲,59308,100300467
201401,67000000,食,2,50(含)-55歲,44230,78105766
201401,67000000,食,2,55(含)-60歲,27881,48148863
201401,67000000,食,2,60(含)-65歲,15619,25614023
201401,67000000,食,2,65(含)-70歲,5148,7487648
201401,67000000,食,2,70(含)-75歲,1859,2564713
201401,67000000,食,2,75(含)-80歲,604,1172019
201401,67000000,食,2,80(含)歲以上,411,782558
201401,67000000,衣,2,未滿20歲,116,210039
201401,67000000,衣,2,20(含)-25歲,2896,6384701
201401,67000000,衣,2,25(含)-30歲,9020,23336169
201401,67000000,衣,2,30(含)-35歲,17567,46033244
201401,67000000,衣,2,35(含)-40歲,21873,58365303
201401,67000000,衣,2,40(含)-45歲,19386,55628199
201401,67000000,衣,2,45(含)-50歲,14115,45779511
201401,67000000,衣,2,50(含)-55歲,8037,30701781
201401,67000000,衣,2,55(含)-60歲,3834,16046785
201401,67000000,衣,2,60(含)-65歲,1742,6112350
201401,67000000,衣,2,65(含)-70歲,487,1726970
201401,67000000,衣,2,70(含)-75歲,157,662456
201401,67000000,衣,2,75(含)-80歲,34,91279
201401,67000000,衣,2,80(含)歲以上,165,677344
201401,67000000,住,2,未滿20歲,47,160842
201401,67000000,住,2,20(含)-25歲,1453,5667247
201401,67000000,住,2,25(含)-30歲,5257,23290210
201401,67000000,住,2,30(含)-35歲,9138,39368717
201401,67000000,住,2,35(含)-40歲,11390,56808683
201401,67000000,住,2,40(含)-45歲,11747,54947543
201401,67000000,住,2,45(含)-50歲,11067,58427033
201401,67000000,住,2,50(含)-55歲,8045,44990300
201401,67000000,住,2,55(含)-60歲,4627,27681171
201401,67000000,住,2,60(含)-65歲,2147,13116283
201401,67000000,住,2,65(含)-70歲,613,2937935
201401,67000000,住,2,70(含)-75歲,238,1233285
201401,67000000,住,2,75(含)-80歲,72,304267
201401,67000000,住,2,80(含)歲以上,96,682565
201401,67000000,行,2,未滿20歲,687,345866
201401,67000000,行,2,20(含)-25歲,13188,7653577
201401,67000000,行,2,25(含)-30歲,35777,26942132
201401,67000000,行,2,30(含)-35歲,51637,48198704
201401,67000000,行,2,35(含)-40歲,54199,56220527
201401,67000000,行,2,40(含)-45歲,50018,52737750
201401,67000000,行,2,45(含)-50歲,43916,48904417
201401,67000000,行,2,50(含)-55歲,32525,35692715
201401,67000000,行,2,55(含)-60歲,18891,21131166
201401,67000000,行,2,60(含)-65歲,8478,8675307
201401,67000000,行,2,65(含)-70歲,2626,2731487
201401,67000000,行,2,70(含)-75歲,866,709855
201401,67000000,行,2,75(含)-80歲,198,198794
201401,67000000,行,2,80(含)歲以上,348,533348
201401,67000000,文教康樂,2,未滿20歲,242,1059096
201401,67000000,文教康樂,2,20(含)-25歲,4801,14005669
201401,67000000,文教康樂,2,25(含)-30歲,11724,40447228
201401,67000000,文教康樂,2,30(含)-35歲,14158,56572017
201401,67000000,文教康樂,2,35(含)-40歲,14928,68429595
201401,67000000,文教康樂,2,40(含)-45歲,14666,77451989
201401,67000000,文教康樂,2,45(含)-50歲,12001,71213866
201401,67000000,文教康樂,2,50(含)-55歲,7392,48201566
